Code,ID,Mode,Level,Nationality,L1,Concordance Line,Verb,Functions,Error,Error-Type-New
W_I_F_HPL_TH_9,HPL_TH,W,L2,TH,TH,[GLCLC text removed],好,DISP,,
W_I_F_BYL_BR_3,BYL_BR,W,L2,BR,PT,[GLCLC text removed],好,EVAL,,
W_I_F_AYN_RU_3,AYN_RU,W,L2,RU,RU,[GLCLC text removed],好奇,MS,,
W_I_F_JZXIU_KR_1,JZXIU_KR,W,L2,KR,KR,[GLCLC text removed],好奇,MS,,
W_I_F_LZYA_KR_8,LZYA_KR,W,L2,KR,KR,[GLCLC text removed],好奇,MS,,
W_I_F_MRN_BR_6,MRN_BR,W,L2,BR,PT,[GLCLC text removed],好奇,MS,,
W_I_F_SSXI_KR_6,SSXI_KR,W,L2,KR,KR,[GLCLC text removed],好奇,MS,,
W_I_F_WDLY_RU_16,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],好奇,MS,,
W_I_F_YIL_BR_2,YIL_BR,W,L2,BR,PT,[GLCLC text removed],好奇,MS,,
W_I_F_YLSB_PE_2,YLSB_PE,W,L2,PE,ES,[GLCLC text removed],好奇,MS,,
W_I_F_ZHH_TH_3,ZHH_TH,W,L2,TH,TH,[GLCLC text removed],好奇,MS,,
W_I_F_ZYY_VE_2,ZYY_VE,W,L2,VE,ES,[GLCLC text removed],好奇,MS,,
W_I_M_BALID_GN_6,BALID_GN,W,L2,GN,EN,[GLCLC text removed],好奇,MS,,
W_I_M_LBK_VE_9,LBK_VE,W,L2,VE,ES,[GLCLC text removed],好奇,MS,,
W_I_M_LMN_TH_2,LMN_TH,W,L2,TH,TH,[GLCLC text removed],好奇,MS,,
W_I_M_LTQ_PE_2,LTQ_PE,W,L2,PE,ES,[GLCLC text removed],好奇,MS,,
W_I_M_SMER_KZ_8,SMER_KZ,W,L2,KZ,TK,[GLCLC text removed],好奇,MS,,
W_I_M_XCYH_JP_2,XCYH_JP,W,L2,JP,JP,[GLCLC text removed],好奇,MS,,
W_I_M_ZYG_VE_2,ZYG_VE,W,L2,VE,ES,[GLCLC text removed],好奇,MS,,
W_I_M_LBK_VE_8,LBK_VE,W,L2,VE,ES,[GLCLC text removed],好奇,MS,,
W_I_F_BYL_BR_6,BYL_BR,W,L2,BR,PT,[GLCLC text removed],实行,SI,,
W_I_F_CAMLG_TH_3,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],尊重,DISP,,
W_I_M_ZCYT_JP_2,ZCYT_JP,W,L2,JP,JP,[GLCLC text removed],影响,EVAL,,
W_I_F_CRHI_KR_1,CRHI_KR,W,L2,KR,KR,[GLCLC text removed],影响,EVAL,,
W_I_F_AMI_GN_5,AMI_GN,W,L2,GN,EN,[GLCLC text removed],微笑,DA,,
W_I_F_JZP_CN_1,JZP_CN,W,L2,CN,Other,[GLCLC text removed],微笑,DA,,
W_I_M_HSE_PK_14,HSE_PK,W,L2,PK,Other,[GLCLC text removed],微笑,EVAL,,
S_I_F_CSQS_VN,CSQS_VN,S,L2,VN,VN,[GLCLC text removed],好,DISP,,
S_I_F_JTN_GQ,JTN_GQ,S,L2,GQ,ES,[GLCLC text removed],好,DISP,,
S_I_F_LCL_KR_3,LCL_KR,S,L2,KR,KR,[GLCLC text removed],好,DISP,,
S_I_M_LBK_VE_5,LBK_VE,S,L2,VE,ES,[GLCLC text removed],好,DISP,,
S_I_M_LMA_PT,LMA_PT,S,L2,PT,PT,[GLCLC text removed],好,DISP,,
S_I_M_XJ_RU,XJ_RU,S,L2,RU,RU,[GLCLC text removed],好,DISP,,
S_I_M_XMJ_FR,XMJ_FR,S,L2,FR,FR,[GLCLC text removed],好,DISP,,
W_I_M_HYH_KR_4,HYH_KR,W,L2,KR,KR,[GLCLC text removed],怨愤,MS,,
S_I_M_CJR_TH_2,CJR_TH,S,L2,TH,TH,[GLCLC text removed],感,MS,,
S_I_M_HAS_CU_1,HAS_CU,S,L2,CU,ES,[GLCLC text removed],感,MS,,
S_I_F_WUYM_CR_1,WUYM_CR,S,L2,CR,ES,[GLCLC text removed],感,MS,,
S_I_M_DYSR_JP+I_,DYSR_JP,S,L2,JP,JP,[GLCLC text removed],感,MS,,
S_I_F_WDLY_RU,WDLY_RU,S,L2,RU,RU,[GLCLC text removed],感,EVAL,,
S_I_F_YYQ_CH,YYQ_CH,S,L2,CH,Other,[GLCLC text removed],感,MS,,
S_I_F_AHL_PE_1,AHL_PE,S,L2,PE,ES,[GLCLC text removed],感,MS,,
S_I_M_WYMU_SD_3,WYMU_SD,S,L2,SD,AR,[GLCLC text removed],感,MS,,
S_I_F_JXZ_KR_1,JXZ_KR,S,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_JHXU_KR_2,JHXU_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_WYS_TH_2,WYS_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_WYS_TH_2,WYS_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_YSLI_PE_3,YSLI_PE,W,L2,PE,ES,[GLCLC text removed],感,MS,,
W_I_F_ZSZ_KR,ZSZ_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_ZTT_TH_3,ZTT_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_M_BAOLUO_CL_,BAOLUO_CL,W,L2,CL,ES,[GLCLC text removed],感,MS,,
W_I_F_HNN_PE_3,HNN_PE,W,L2,PE,ES,[GLCLC text removed],感,MS,,
W_I_F_JHXI_KR_1,JHXI_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_M_GQQG_JP_3,GQQG_JP,W,L2,JP,JP,[GLCLC text removed],感,MS,,
W_I_F_JAL_KR_2,JAL_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_YLSB_PE_1,YLSB_PE,W,L2,PE,ES,[GLCLC text removed],感,MS,,
W_I_F_AHL_PE,AHL_PE,W,L2,PE,ES,[GLCLC text removed],感,MS,,
W_I_F_HPL_TH_2,HPL_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_JZIE_KR_1,JZIE_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_PL_KR,PL_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_ZXLI_TH_2,ZXLI_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_M_WJL_VE,WJL_VE,W,L2,VE,ES,[GLCLC text removed],感,MS,,
W_I_F_YESE_KZ_1,YESE_KZ,W,L2,KZ,TK,[GLCLC text removed],感,MS,,
W_I_F_WAL_EE_2,WAL_EE,W,L2,EE,Other,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_2,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_GBQ_TH_7,GBQ_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_QY_TH_2,QY_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_1,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_SSXI_KR_2,SSXI_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_SSXI_KR_2,SSXI_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_BBXL_JP,BBXL_JP,W,L2,JP,JP,[GLCLC text removed],感,MS,,
W_I_F_BBXL_JP,BBXL_JP,W,L2,JP,JP,[GLCLC text removed],感,MS,,
W_I_F_BBXL_JP,BBXL_JP,W,L2,JP,JP,[GLCLC text removed],好奇,MS,,
W_I_F_FSFQ_VN_5,FSFQ_VN,W,L2,VN,VN,[GLCLC text removed],感,MS,,
W_I_F_JZIE_KR_3,JZIE_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_JZXIU_KR_1,JZXIU_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_LHYI_VN_2,LHYI_VN,W,L2,VN,VN,[GLCLC text removed],感,MS,,
W_I_F_LZYA_KR_8,LZYA_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_PQY_KR,PQY_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_QFM_KR_2,QFM_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_WUYM_CR_2,WUYM_CR,W,L2,CR,ES,[GLCLC text removed],感,MS,,
W_I_F_YIL_BR_2,YIL_BR,W,L2,BR,PT,[GLCLC text removed],感,MS,,
W_I_F_ZHH_TH_3,ZHH_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_ZYY_VE_2,ZYY_VE,W,L2,VE,ES,[GLCLC text removed],感,MS,,
W_I_M_BALID_GN_6,BALID_GN,W,L2,GN,EN,[GLCLC text removed],感,MS,,
W_I_M_EI_RU_8,EI_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_M_LBK_VE_9,LBK_VE,W,L2,VE,ES,[GLCLC text removed],感,MS,,
W_I_M_LTQ_PE_2,LTQ_PE,W,L2,PE,ES,[GLCLC text removed],感,MS,,
W_I_M_SMER_KZ_8,SMER_KZ,W,L2,KZ,TK,[GLCLC text removed],感,MS,,
W_I_M_XCYH_JP_2,XCYH_JP,W,L2,JP,JP,[GLCLC text removed],感,MS,,
W_I_F_JJL_KR_2,JJL_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_JJL_KR_2,JJL_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_PZY_KR_2,PZY_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_M_HDY_KR_3,HDY_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_JZXIU_KR_1,JZXIU_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_QBYZ_JP_12,QBYZ_JP,W,L2,JP,JP,[GLCLC text removed],感,MS,,
W_I_M_CJR_TH_7,CJR_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_M_LBK_VE_8,LBK_VE,W,L2,VE,ES,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_13,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_WUYM_CR_11,WUYM_CR,W,L2,CR,ES,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_4,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_4,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_4,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_AYN_RU_4,AYN_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_JHF_KR_2,JHF_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_JHF_KR_2,JHF_KR,W,L2,KR,KR,[GLCLC text removed],感,EVAL,,
W_I_F_ZYY_VE_3,ZYY_VE,W,L2,VE,ES,[GLCLC text removed],感,MS,,
W_I_F_YYQH_JP_5,YYQH_JP,W,L2,JP,JP,[GLCLC text removed],感,EVAL,,
W_I_F_QYX_KR_3,QYX_KR,W,L2,KR,KR,[GLCLC text removed],感,MS,,
W_I_F_LHYI_VN_14,LHYI_VN,W,L2,VN,VN,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_5,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_F_WDLY_RU_6,WDLY_RU,W,L2,RU,RU,[GLCLC text removed],感,MS,,
W_I_M_BALID_GN_1,BALID_GN,W,L2,GN,EN,[GLCLC text removed],感,MS,,
W_I_M_LMN_TH_14,LMN_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_M_SMER_KZ_14,SMER_KZ,W,L2,KZ,TK,[GLCLC text removed],感,MS,,
W_I_M_SMER_KZ_14,SMER_KZ,W,L2,KZ,TK,[GLCLC text removed],感,MS,,
W_I_F_GBQ_TH_9,GBQ_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_HPL_TH_5,HPL_TH,W,L2,TH,TH,[GLCLC text removed],感,MS,,
W_I_F_LJN_RU,LJN_RU,W,L2,RU,RU,[GLCLC text removed],感到,MS,,
W_I_F_SJZB_JP_2,SJZB_JP,W,L2,JP,JP,[GLCLC text removed],感到,MS,,
W_I_F_LZHY_KR,LZHY_KR,W,L2,KR,KR,[GLCLC text removed],感到,MS,,
W_I_F_GKA_TH_3,GKA_TH,W,L2,TH,TH,[GLCLC text removed],感到,MS,,
W_I_M_NJX_KR_3,NJX_KR,W,L2,KR,KR,[GLCLC text removed],感到,MS,,
W_I_M_GQQG_JP_2,GQQG_JP,W,L2,JP,JP,[GLCLC text removed],感到,MS,,
W_I_F_BYL_BR_7,BYL_BR,W,L2,BR,PT,[GLCLC text removed],感激,MS,,
W_I_F_YR_ES_14,YR_ES,W,L2,ES,ES,[GLCLC text removed],感觉,MS,,
W_I_M_ZCYT_JP_1,ZCYT_JP,W,L2,JP,JP,[GLCLC text removed],感谢,MS,,
W_I_F_HHC_KR_3,HHC_KR,W,L2,KR,KR,[GLCLC text removed],批评,DA,,
W_I_F_CQH_VN,CQH_VN,W,L2,VN,VN,[GLCLC text removed],指示,DA,,
W_I_F_LZSA_KR_1,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],支持,DISP,,
S_I_M_ZLO_RU_2+I,ZLO_RU,S,L2,RU,RU,[GLCLC text removed],方便,EVAL,,
W_I_F_YZX_KR_1,YZX_KR,W,L2,KR,KR,[GLCLC text removed],无益,EVAL,,
S_I_F_DLYH_RU_3,DLYH_RU,S,L2,RU,RU,[GLCLC text removed],必不可少,EVAL,,
S_I_F_DLYH_RU_3,DLYH_RU,S,L2,RU,RU,[GLCLC text removed],是,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],是,EVAL,,
S_I_F_NSJK_UA_3,NSJK_UA,S,L2,UA,Other,[GLCLC text removed],是,EVAL,,
S_I_F_NSJK_UA_3,NSJK_UA,S,L2,UA,Other,[GLCLC text removed],是,EVAL,,
S_I_M_MSE_RU,MSE_RU,S,L2,RU,RU,[GLCLC text removed],是,EVAL,,
S_I_M_MSE_RU,MSE_RU,S,L2,RU,RU,[GLCLC text removed],是,EVAL,,
W_I_M_BAOLUO_CL_,BAOLUO_CL,W,L2,CL,ES,[GLCLC text removed],是,EVAL,,
W_I_F_LLS_TH_1,LLS_TH,W,L2,TH,TH,[GLCLC text removed],是,EVAL,,
W_I_F_LXJ_KR_1,LXJ_KR,W,L2,KR,KR,[GLCLC text removed],是,EVAL,,
W_I_F_LNA_KZ_3,LNA_KZ,W,L2,KZ,TK,[GLCLC text removed],是,EVAL,,
W_I_F_LNA_KZ_3,LNA_KZ,W,L2,KZ,TK,[GLCLC text removed],是,EVAL,,
W_I_F_YR_ES_14,YR_ES,W,L2,ES,ES,[GLCLC text removed],是,EVAL,,
S_I_M_HRZ_MG,HRZ_MG,S,L2,MG,Other,[GLCLC text removed],有,EVAL,,
S_I_F_QZY_KR_4,QZY_KR,S,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_LXHU_KR_2,LXHU_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_CMY_VN,CMY_VN,W,L2,VN,VN,[GLCLC text removed],有,EVAL,,
W_I_F_WAL_EE_8,WAL_EE,W,L2,EE,Other,[GLCLC text removed],有,MS,,
S_I_M_LZL_GB_1,LZL_GB,S,L2,GB,EN,[GLCLC text removed],有,MS,,
S_I_F_YIL_BR_2,YIL_BR,S,L2,BR,PT,[GLCLC text removed],有,MS,,
S_I_F_YIL_BR_2,YIL_BR,S,L2,BR,PT,[GLCLC text removed],有,MS,,
S_I_F_ZYY_VE_2,ZYY_VE,S,L2,VE,ES,[GLCLC text removed],有,MS,,
S_I_F_LXB_KR_1,LXB_KR,S,L2,KR,KR,[GLCLC text removed],有,MS,,
S_I_F_HRC_DE+I_F,HRC_DE,S,L2,DE,Other,[GLCLC text removed],有,MS,,
S_I_M_ZR_CA,ZR_CA,S,L2,CA,EN,[GLCLC text removed],有,MS,,
W_I_F_MX_CS,MX_CS,W,L2,CS,Other,[GLCLC text removed],有,MS,,
W_I_F_QY_TH_1,QY_TH,W,L2,TH,TH,[GLCLC text removed],有,MS,,
W_I_F_JZHX_KR_2,JZHX_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_NM_KZ_1,NM_KZ,W,L2,KZ,TK,[GLCLC text removed],有,MS,,
W_I_F_YSLI_PE_2,YSLI_PE,W,L2,PE,ES,[GLCLC text removed],有,MS,,
W_I_M_TZH_IT,TZH_IT,W,L2,IT,Other,[GLCLC text removed],有,MS,,
W_I_F_YIL_BR_5,YIL_BR,W,L2,BR,PT,[GLCLC text removed],有,MS,,
W_I_F_YSLI_PE_4,YSLI_PE,W,L2,PE,ES,[GLCLC text removed],有,MS,,
W_I_F_JXY_KR_2,JXY_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_YIL_BR_9,YIL_BR,W,L2,BR,PT,[GLCLC text removed],有,MS,,
W_I_F_JJB_KR_3,JJB_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_M_LWC_TH_3,LWC_TH,W,L2,TH,TH,[GLCLC text removed],有,MS,,
W_I_M_LWC_TH_3,LWC_TH,W,L2,TH,TH,[GLCLC text removed],有,MS,,
W_I_F_ZYJA_TH_8,ZYJA_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_YYQ_CH_1,YYQ_CH,W,L2,CH,Other,[GLCLC text removed],有,MS,,
W_I_F_BYL_BR_6,BYL_BR,W,L2,BR,PT,[GLCLC text removed],有,EVAL,,
S_I_F_MLY_RU_1,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,EVAL,,
S_I_F_ZYY_VE_3,ZYY_VE,S,L2,VE,ES,[GLCLC text removed],有,EVAL,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,EVAL,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,EVAL,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,EVAL,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,EVAL,,
S_I_M_YGEU_UZ_3,YGEU_UZ,S,L2,UZ,TK,[GLCLC text removed],有,EVAL,,
W_I_M_RKHF_VN_1,RKHF_VN,W,L2,VN,VN,[GLCLC text removed],有,EVAL,,
W_I_M_DYSR_JP,DYSR_JP,W,L2,JP,JP,[GLCLC text removed],有,EVAL,,
W_I_F_MDN_KZ_1,MDN_KZ,W,L2,KZ,TK,[GLCLC text removed],有,EVAL,,
W_I_M_HLH_TH_5,HLH_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_M_HLH_TH_5,HLH_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_M_CHAL_ID,CHAL_ID,W,L2,ID,Other,[GLCLC text removed],有,EVAL,,
W_I_M_MWH_VE_1,MWH_VE,W,L2,VE,ES,[GLCLC text removed],有,EVAL,,
W_I_M_ZYG_VE_4,ZYG_VE,W,L2,VE,ES,[GLCLC text removed],有,EVAL,,
W_I_M_LDYI_KR_4,LDYI_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_ZYJA_TH_8,ZYJA_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_SZYI_KR_3,SZYI_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_QYX_KR_5,QYX_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_CAMLG_TH_1,CAMLG_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_NLSA_KG_3,NLSA_KG,W,L2,KG,TK,[GLCLC text removed],有,EVAL,,
W_I_F_BYL_BR_3,BYL_BR,W,L2,BR,PT,[GLCLC text removed],有,EVAL,,
W_I_F_LCL_KR_4,LCL_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_PRL_KR_3,PRL_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_QYX_KR_4,QYX_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_ZXLI_TH_8,ZXLI_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_CHL_TH_1,CHL_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
S_I_F_JDYI_KR+I_,JDYI_KR,S,L2,KR,KR,[GLCLC text removed],有,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,EVAL,,
S_I_F_MLY_RU_2,MLY_RU,S,L2,RU,RU,[GLCLC text removed],有,EVAL,,
S_I_F_SF_RU_6,SF_RU,S,L2,RU,RU,[GLCLC text removed],有,EVAL,,
S_I_F_SF_RU_6,SF_RU,S,L2,RU,RU,[GLCLC text removed],有,EVAL,,
S_I_F_ZYY_VE_3,ZYY_VE,S,L2,VE,ES,[GLCLC text removed],有,EVAL,,
W_I_M_ZZY_KR_2,ZZY_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_M_PDL_BR,PDL_BR,W,L2,BR,PT,[GLCLC text removed],有,EVAL,,
W_I_F_CMY_VN,CMY_VN,W,L2,VN,VN,[GLCLC text removed],有,EVAL,,
W_I_M_LMHA_TH,LMHA_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_M_LC_TH_1,LC_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_JZUE_KR_4,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_SZYI_KR_1,SZYI_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_JRY_KR_2,JRY_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
S_I_M_MHMAD_TJ,MHMAD_TJ,S,L2,TJ,Other,[GLCLC text removed],有,EVAL,,
W_I_F_JZUE_KR_1,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_NDS_RU_3,NDS_RU,W,L2,RU,RU,[GLCLC text removed],有,EVAL,,
S_I_F_LXB_KR_3,LXB_KR,S,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_QFM_KR_13,QFM_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_M_SSXN_KR,SSXN_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_DFH_TH_5,DFH_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_ZTT_TH_3,ZTT_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_F_CQH_VN,CQH_VN,W,L2,VN,VN,[GLCLC text removed],有,EVAL,,
S_I_F_LLX_KR,LLX_KR,S,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_M_LC_TH_1,LC_TH,W,L2,TH,TH,[GLCLC text removed],有,EVAL,,
W_I_M_ADH_RU_2,ADH_RU,W,L2,RU,RU,[GLCLC text removed],有,EVAL,,
W_I_F_SJZB_JP_3,SJZB_JP,W,L2,JP,JP,[GLCLC text removed],有,MS,,
W_I_F_PRL_KR_3,PRL_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_JRY_KR_3,JRY_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_JJB_KR_7,JJB_KR,W,L2,KR,KR,[GLCLC text removed],有,EVAL,,
W_I_F_LZSA_KR_4,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_WAL_EE_2,WAL_EE,W,L2,EE,Other,[GLCLC text removed],有,MS,,
W_I_F_LZYI_KR_3,LZYI_KR,W,L2,KR,KR,[GLCLC text removed],有,ABT,,
W_I_F_JML_KR_2,JML_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
W_I_F_JZUE_KR_5,JZUE_KR,W,L2,KR,KR,[GLCLC text removed],有,MS,,
S_I_F_JAML_TH,JAML_TH,S,L2,TH,TH,[GLCLC text removed],有,EVAL,,
S_I_M_KD_EG_3,KD_EG,S,L2,EG,AR,[GLCLC text removed],有,EVAL,,
W_I_F_JYU_KZ_1,JYU_KZ,W,L2,KZ,TK,[GLCLC text removed],说,DA,,
W_I_M_MSA_RU,MSA_RU,W,L2,RU,RU,[GLCLC text removed],清楚,MS,,
W_I_M_MSA_RU,MSA_RU,W,L2,RU,RU,[GLCLC text removed],清楚,MS,,
W_I_M_CXD_KR_1,CXD_KR,W,L2,KR,KR,[GLCLC text removed],温和,DISP,,
W_I_M_WJH_TH_1,WJH_TH,W,L2,TH,TH,[GLCLC text removed],满意,MS,,
S_I_M_ADH_RU_3,ADH_RU,S,L2,RU,RU,[GLCLC text removed],满意,MS,,
S_I_M_ADH_RU_3,ADH_RU,S,L2,RU,RU,[GLCLC text removed],满意,MS,,
S_I_M_WYMU_SD_3,WYMU_SD,S,L2,SD,AR,[GLCLC text removed],满意,MS,,
W_I_M_ZCS_TH,ZCS_TH,W,L2,TH,TH,[GLCLC text removed],满意,MS,,
W_I_F_NSJB_RU_2,NSJB_RU,W,L2,RU,RU,[GLCLC text removed],满意,MS,,
W_I_M_WJH_TH_1,WJH_TH,W,L2,TH,TH,[GLCLC text removed],满意,MS,,
W_I_F_LXHU_KR_6,LXHU_KR,W,L2,KR,KR,[GLCLC text removed],满意,MS,,
W_I_F_MDN_KZ_1,MDN_KZ,W,L2,KZ,TK,[GLCLC text removed],满意,MS,,
W_I_F_WHY_TH,WHY_TH,W,L2,TH,TH,[GLCLC text removed],满意,MS,,
W_I_F_YTQZ_JP_1,YTQZ_JP,W,L2,JP,JP,[GLCLC text removed],满意,MS,,
W_I_F_LZSA_KR_1,LZSA_KR,W,L2,KR,KR,[GLCLC text removed],满意,MS,,
W_I_F_JZIE_KR_1,JZIE_KR,W,L2,KR,KR,[GLCLC text removed],满意,MS,,
W_I_F_JZJN_KR,JZJN_KR,W,L2,KR,KR,[GLCLC text removed],满意,MS,,
W_I_F_PL_KR,PL_KR,W,L2,KR,KR,[GLCLC text removed],满意,MS,,
W_I_M_ADH_RU_3,ADH_RU,W,L2,RU,RU,[GLCLC text removed],满意,MS,,
W_I_F_MDN_KZ_3,MDN_KZ,W,L2,KZ,TK,[GLCLC text removed],满意,MS,,
W_I_F_XH_KG_2,XH_KG,W,L2,KG,TK,[GLCLC text removed],满意,MS,,
W_I_M_ADH_RU_5,ADH_RU,W,L2,RU,RU,[GLCLC text removed],满意,MS,,
W_I_F_HHC_KR_1,HHC_KR,W,L2,KR,KR,[GLCLC text removed],烦恼,MS,,
W_I_F_CLY_KR_2,CLY_KR,W,L2,KR,KR,[GLCLC text removed],热心,DISP,,
W_I_F_CLY_KR_2,CLY_KR,W,L2,KR,KR,[GLCLC text removed],热心,DISP,,
W_I_F_JHXI_KR_1,JHXI_KR,W,L2,KR,KR,[GLCLC text removed],热情,DISP,,
W_I_F_KELA_PE_1,KELA_PE,W,L2,PE,ES,[GLCLC text removed],热情,DISP,,
W_I_F_ZXLI_TH_6,ZXLI_TH,W,L2,TH,TH,[GLCLC text removed],热情,DISP,,
W_I_M_BJM_AO_2,BJM_AO,W,L2,AO,PT,[GLCLC text removed],熟悉,MS,,
